sampleId,country,city,collectionDate,lat,long,season,locality,type,continent,set,nFlies,SRA_accession,SRA_experiment,year,yday,stationId,dist_km
ES_Cor_15_33,Spain,Cortes de Baza,2015/08/08,37.661547,-2.79631,spring,ES_Cor,pooled,Europe,DrosEU,40,SRR8439163,SRX5246545,2015,220,SPE00120170,90.0807228425846
ES_Gim_14_34,Spain,Gimenells,2014/10/20,41.6175899,0.6200146,fall,ES_Gim,pooled,Europe,DrosEU,40,SRR5647769,SRX2885339,2014,293,SPE00120242,2.26660485503952
ES_Gim_14_35,Spain,Gimenells,2014/08/13,41.6175899,0.6200146,spring,ES_Gim,pooled,Europe,DrosEU,40,SRR5647776,SRX2885332,2014,225,SPE00120242,2.26660485503952
ES_Gim_15_30,Spain,Gimenells,2015/06/28,41.656416,0.388472,spring,ES_Gim,pooled,Europe,DrosEU,40,SRR8439138,SRX5246570,2015,179,SPE00156468,5.79718302040284
ES_Gim_15_31,Spain,Gimenells,2015/10/22,41.656416,0.388472,fall,ES_Gim,pooled,Europe,DrosEU,40,SRR8439168,SRX5246540,2015,295,SPE00156468,5.79718302040284
ES_Gim_16_33,Spain,Gimenells,2016/08/25,41.656416,0.388472,spring,ES_Gim,pooled,Europe,DrosEU,40,SRR8494470,SRX5298997,2016,238,SPE00156468,5.79718302040284
ES_Gim_16_34,Spain,Gimenells,2016/10/21,41.656416,0.388472,fall,ES_Gim,pooled,Europe,DrosEU,40,SRR8494472,SRX5298995,2016,295,SPE00156468,5.79718302040284
ES_Gua_15_32,Spain,Guadix,2015/09/12,37.3308,-3.173416,spring,ES_Gua,pooled,Europe,DrosEU,40,SRR8439164,SRX5246544,2015,255,SPE00120089,56.8340538443844
ES_Pur_16_35,Spain,Purullena. El Bejarín (Guadix),2016/08/30,37.3377875,-3.1786148,spring,ES_Pur,pooled,Europe,DrosEU,40,SRR8494462,SRX5299005,2016,243,SPE00120089,56.6092721744309
ES_Tom_15_28,Spain,Tomelloso,2015/10/08,39.15805,-3.021,fall,ES_Tom,pooled,Europe,DrosEU,40,SRR8439136,SRX5246572,2015,281,SPE00120035,79.9719599488422
ES_Tom_15_29,Spain,Tomelloso,2015/09/17,39.15805,-3.021,spring,ES_Tom,pooled,Europe,DrosEU,40,SRR8439137,SRX5246571,2015,260,SPE00120035,79.9719599488422
ES_Tom_16_36,Spain,Tomelloso,2016/09/02,39.152529,-3.0616048,spring,ES_Tom,pooled,Europe,DrosEU,40,SRR8494461,SRX5299006,2016,246,SPE00120035,76.4155806024276
ES_Tom_16_37,Spain,Tomelloso,2016/10/11,39.152529,-3.0616048,fall,ES_Tom,pooled,Europe,DrosEU,40,SRR8494460,SRX5299007,2016,285,SPE00120035,76.4155806024276
FI_Aka_14_36,Finland,Akaa,2014/07/25,61.1,23.52,spring,FI_Aka,pooled,Europe,DrosEU,40,SRR5647775,SRX2885333,2014,206,FI000002963,31.8971121245924
FI_Aka_14_37,Finland,Akaa,2014/08/27,61.1,23.52,spring,FI_Aka,pooled,Europe,DrosEU,40,SRR5647774,SRX2885334,2014,239,FI000002963,31.8971121245924
FI_Aka_15_34,Finland,Akaa,2015/10/01,61.1,23.52,fall,FI_Aka,pooled,Europe,DrosEU,40,SRR8439162,SRX5246546,2015,274,FI000002963,31.8971121245924
FI_Aka_15_35,Finland,Akaa,2015/07/21,61.1,23.52,spring,FI_Aka,pooled,Europe,DrosEU,40,SRR8439161,SRX5246547,2015,202,FI000002963,31.8971121245924
FI_Aka_16_5,Finland,Akaa,2016/07/24,61.1,23.52,spring,FI_Aka,pooled,Europe,DrosEU,40,SRR8494445,SRX5299022,2016,206,FI000002963,31.8971121245924
FI_Aka_16_6,Finland,Akaa,2016/09/17,61.1,23.52,spring,FI_Aka,pooled,Europe,DrosEU,40,SRR8494443,SRX5299024,2016,261,FI000002963,31.8971121245924
FI_Ves_14_38,Finland,Vesanto,2014/07/26,62.55,26.24,spring,FI_Ves,pooled,Europe,DrosEU,33,SRR5647773,SRX2885335,2014,207,FI000002401,33.3437969033885
FI_Ves_16_7,Finland,Vesanto,2016/07/29,62.55,26.24,spring,FI_Ves,pooled,Europe,DrosEU,40,SRR8494442,SRX5299025,2016,211,FI000002401,33.3437969033885
FR_Got_14_08,France,Gotheron,2014/07/08,44.976813,4.930005,spring,FR_Got,pooled,Europe,DrosEU,40,SRR5647753,SRX2885355,2014,189,FRE00104907,46.686386791307
FR_Got_15_47,France,Gotheron,2015/05/21,44.977,4.93,spring,FR_Got,pooled,Europe,DrosEU,40,SRR8439122,SRX5246586,2015,141,FRE00104907,46.7058364986086
FR_Got_15_48,France,Gotheron,2015/09/09,44.977,4.93,spring,FR_Got,pooled,Europe,DrosEU,40,SRR8439123,SRX5246585,2015,252,FRE00104907,46.7058364986086
FR_Got_15_49,France,Gotheron,2015/10/13,44.977,4.93,fall,FR_Got,pooled,Europe,DrosEU,40,SRR8439126,SRX5246582,2015,286,FRE00104907,46.7058364986086
FR_Got_16_8,France,Gotheron,2016/06/13,44.976813,4.930005,spring,FR_Got,pooled,Europe,DrosEU,40,SRR8494447,SRX5299020,2016,165,FRE00104907,46.686386791307
FR_Vil_14_05,France,Viltain,2014/08/18,48.7543324,2.1584108,spring,FR_Vil,pooled,Europe,DrosEU,40,SRR5647755,SRX2885353,2014,230,FR000007150,15.1694921556611
FR_Vil_14_07,France,Viltain,2014/10/27,48.7543324,2.1584108,fall,FR_Vil,pooled,Europe,DrosEU,40,SRR5647729,SRX2885379,2014,300,FR000007150,15.1694921556611
FR_Vil_15_40,France,Viltain,2015/08/10,48.754,2.158,spring,FR_Vil,pooled,Europe,DrosEU,40,SRR8439165,SRX5246543,2015,222,FR000007150,15.2142430916699
FR_Vil_15_41,France,Viltain,2015/10/14,48.754,2.158,fall,FR_Vil,pooled,Europe,DrosEU,40,SRR8439120,SRX5246588,2015,287,FR000007150,15.2142430916699
